0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0.28365034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44406158,0.7866049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4790066,0.69610184,0.76530844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43837422,0.61304206,0.66694766,0.5990558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.53607994,0.6384566,0.6587152,0.6442361,0.65357065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4264078,0.63018113,0.68624276,0.60900134,0.6355203,0.61032206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4161106,0.6058723,0.63140005,0.6025155,0.6497911,0.62255484,0.671455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43740234,0.67174155,0.6875487,0.6323084,0.6536306,0.69386,0.6417281,0.69866323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40579137,0.6347997,0.66032743,0.5628159,0.5846539,0.6212129,0.56938076,0.6566971,0.6434403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45173216,0.68854636,0.6734924,0.6296626,0.66856635,0.66596204,0.69709486,0.6672767,0.5713153,0.7137133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45510048,0.64088815,0.6957004,0.6418795,0.6623791,0.6300392,0.60507584,0.6691039,0.56834394,0.6855137,0.6374021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4256922,0.59505045,0.6098129,0.56156045,0.62295055,0.5708773,0.5893164,0.5957807,0.53577906,0.6085867,0.57693607,0.49604395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48757035,0.7247858,0.79019636,0.70205116,0.67055863,0.71345466,0.7550807,0.73168355,0.7487981,0.7344447,0.6937403,0.6402677,0.86828685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.47620758,0.69696283,0.7054829,0.70364046,0.6833306,0.6825213,0.6560847,0.7263997,0.6238483,0.69641966,0.7041671,0.6172737,0.7408778,0.73418325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.41647774,0.5560113,0.53315055,0.5342226,0.5882637,0.5544965,0.5589021,0.57905996,0.5278148,0.59013695,0.5388404,0.5366853,0.58921653,0.59230304,0.5357794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36423331,0.49709058,0.5433423,0.48540464,0.5798912,0.4989879,0.5514782,0.53962684,0.4869162,0.53617126,0.5002515,0.48605627,0.596451,0.5448146,0.47655165,0.3663745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39804125,0.6317318,0.552606,0.54859895,0.6106222,0.5203264,0.52371436,0.53486884,0.48484635,0.59383136,0.5798169,0.50044,0.576196,0.6093798,0.4894974,0.3857133,0.47516093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48013315,0.6657942,0.71409136,0.6969511,0.672853,0.68645096,0.71412617,0.7133325,0.67745644,0.68918425,0.6633823,0.5890688,0.8281453,0.73552704,0.5829985,0.54609257,0.5860253,0.85735905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4175172,0.6490254,0.6542371,0.585488,0.60697067,0.6012745,0.5616316,0.6295311,0.60193735,0.6039505,0.60263604,0.54844904,0.66684014,0.6556003,0.5346657,0.47080398,0.5112298,0.63057,0.5551299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.340443,0.5011179,0.5118688,0.4477555,0.553583,0.40131056,0.5399942,0.4021419,0.40168765,0.52167493,0.43637633,0.45793676,0.5972033,0.46210238,0.42377594,0.3786676,0.40224132,0.50819045,0.40277842,0.285151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46925622,0.6840609,0.6478194,0.6157259,0.6454794,0.66233164,0.63326293,0.6630161,0.61673844,0.6888262,0.62007743,0.5901222,0.6957852,0.671545,0.58940125,0.53122455,0.5927703,0.7046632,0.6123535,0.4766097,0.67529947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48551708,0.75124663,0.72872543,0.68788546,0.6878632,0.6971851,0.6966569,0.725204,0.688549,0.71246934,0.66645914,0.6170249,0.8041167,0.75274134,0.60404813,0.54828066,0.6203121,0.8396702,0.6680525,0.50746804,0.7383838,0.82582307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
