NodeId,Title,Authors,Date
9310201,Generalized Measures in Gauge Theory,J.M. Figueroa-O'Farrill,1993-10-01
9310202,String Propagation in Gravitational Wave Backgrounds,E. Kiritsis and C. Kounnas,1993-10-01
9312201,On Nonlinear Superconformal Algebras With N > 4,Z. Khviengia and E. Sezgin,1993-11-30
9312202,The Perturbative Calculation of the Spin-Spin Correlation Function in,B. Mikhak and A.M. Zarkesh,1993-12-01
9312203,On Projective Gravity and the vanishing of the Cosmological Constant,C. Gasparakis,1993-12-01
9312204,Abelian Chern-Simons field theory and anyon equation on a torus,Kyung-Hyun Cho and Chaiho Rim,1993-12-01
9312205,q-def oscillator associated with Calogero model and its q-coherent state,"K.H.Cho, Chaiho Rim, D.S.Soh, S.U. Park",1993-12-01
9312206,Renormalization of gauge invariant operators and anomalies in Yang-Mills,G. Barnich and M. Henneaux,1993-12-01
9312207,Manifestly Finite Perturbation Theory for the Short-Distance Expansion,B. Mikhak and A.M. Zarkesh,1993-12-01
9312208,Eigensystem and Full Character Formula of the W_{1+infinity} Algebra,"H. Awata, M. Fukuma, S. Odake and Y.-H. Quano",1993-12-01
9312209,On Dubrovin Topological Field Theories,J.-B. Zuber,1993-12-01
9312210,Generalized Kazakov-Migdal-Kontsevich Model: group theory aspects,"S.Kharchev, A.Marshakov, A.Mironov, A.Morozov",1993-12-01
9312211,The Projection Postulate of Quantum Mechanics on the Lightcone,J. Finkelstein,1993-12-02
9312212,$2d$ gravity and matrix models. I. $2d$ gravity,A.Mironov,1993-12-02
9312213,On a c-number quantum $\tau$-function,"A. Mironov, A. Morozov, L. Vinet",1993-12-02
9312214,The representations of Temperley-Lieb-Jones algebras,"A. Mironov, A. Morozov, L. Vinet",1993-12-02
9312215,Knot invariants from rational conformal field theories,"P. Ramadevi, T.R. Govindarajan and R.K. Kaul",1993-12-02
9405201,"Fusion $U_q(G^{(1)}_2)$ vertex models and analytic Bethe ans{\""a}tze",Junji Suzuki,1994-05-02
9406201,Finite Black Hole Entropy and String Theory,Michael McGuigan,1994-06-01
9406202,Quantization of the Gravitational Constant in Odd-Dimensional Gravity,J.Zanelli,1994-06-01
9406203,Coset Realization of Unifying W-Algebras,"R. Blumenhagen, W. Eholzer, A. Honecker, K. Hornfeck, R. Huebel",1994-06-01
9406204,Topics in Quantum Dynamics,"R. Blumenhagen, W. Eholzer, A. Honecker, K. Hornfeck, R. Huebel",1994-06-01
9406205,Bicovariant differential calculus on quantum groups from Poisson Lie,"R. Blumenhagen, W. Eholzer, A. Honecker, K. Hornfeck, R. Huebel",1994-06-01
9406206,A Canonical Approach to Duality Transformations,"E. Alvarez, L. Alvarez-Gaume and Y. Lozano",1994-06-01
9406207,String Field Theory in the Temporal Gauge,"M. Ikehara, N. Ishibashi, H. kawai, T. Mogami, R. Nakayama and N.",1994-06-01
9406208,"""Topological"" Formulation of Effective Vortex Strings",Masatoshi Sato and Shigeaki Yahikozawa,1994-06-01
9406209,Remarks on Thermal Strings outside Black Holes,J.L.F. Barbon,1994-06-01
9406210,Entropy for dilatonic black hole,A. Ghosh and P. Mitra (Saha Institute of Nuclear Physics),1994-06-01
