ToNodeId,Title,Authors,Date,Seed
9912289,Gauge Fixing in the Chain by Chain Method,A Shirzad and F Loran,1999-12-10,78d95058cd29c47f30a6cda6d326f89148d75705168ecefdd548addde8b428e9
9412202,"Conformal, Integrable and Topological Theories, Graphs and Coxeter",A. A. Abrikosov Jr,1994-12-01,2115ebc5c278cedb1a521a256a134915a833d516825ea14c647ca14e249fd227
9412201,The Problem of Ground State in Thermo-Field Dynamics,A. A. Abrikosov Jr,1994-12-01,2115ebc5c278cedb1a521a256a134915a833d516825ea14c647ca14e249fd227
9806220,Dynamical Lorentz simmetry breaking from 3+1 Axion-Wess-Zumino model,"A. A. Andrianov, R. Soldati, L. Sorbo",1998-06-02,3e57458efddb66c83d9ad7e9b3b7f47c002cbcd5161731d27f48a7203c4036b6
9911246,Magnetic Interactions of D-branes and Wess-Zumino Terms in Super,"A. A. Tseytlin, K. Zarembo",1999-11-04,d7afc84280588842e043c9e453d5dcb15804567d96f0736d72a0cb5ae59713c5
9712203,Hamiltonian Flow Equations for a Dirac Particle in an External Potential,"A. B. Bylev, H. J. Pirner",1997-11-29,cbc4634322df18a041a634798856102ecf3ee8bc42b9730b90267f0a324d994d
9807204,On the Natural Gauge Fields of Manifolds,"A. B. Pestov (BLTP, Jinr), Bijan Saha (LIT, Jinr, Dubna, Russia)",1998-07-01,1e865ba05b166ac11ac56f30b060a213e7cbff2340fe56965c8cadfab205e82f
9411230,Tachyonic neutrinos?,A. Bassetto and L. Griguolo,1994-11-05,fbd40616bfbaa20c4513651b5b10f89fee66cbc22116df351ccfb2f5cd3b5851
9411229,The generalized chiral Schwinger model on the two-sphere,A. Bassetto and L. Griguolo,1994-11-05,fbd40616bfbaa20c4513651b5b10f89fee66cbc22116df351ccfb2f5cd3b5851
9511207,Solving The N-Body Problem in (2+1)-Gravity,"A. Bellini, M. Ciafaloni and P. Valtancoli",1995-11-01,dacad1445ebbfde1812500bd0aba3271ea8bb4418f2a0451a407183aba42a165
9712220,"The perturbations $\phi_{2,1}$ and $\phi_{1,5}$ of the minimal models","A. Berkovich, B.M. McCoy and P.A. Pearce",1997-12-01,c8e4802072caabf52ec6481257e742723d0fb96d408a4540ffcadaf3e64ac9c1
9905213,Relativistic Gamow Vectors II,"A. Bohm, H. Kaldass, S. Wickramasekara, P. Kielanowski",1999-05-03,7726f6636e118fd97fa8dba2ad589b1f0020da292eea32b75a73887b814697c4
9906201,"Wilson loops from multicentre and rotating branes, mass gaps and phase",A. Brandhuber and K. Sfetsos,1999-06-01,58fe2e3f3e38903fa9f4190b863c72c533fab81343d8c3b3127e87631d0723ed
9705233,Poisson-Lie T-duality and N=2 superconformal WZNW models on compact,"A. Brandhuber, J. Sonnenschein, S. Theisen, S. Yankielowicz",1997-05-05,05d318ff9160d0c1e3b48c84d5cc8d46323f685a94e38557ea1f029192a527b5
9705232,M Theory And Seiberg-Witten Curves: Orthogonal and Symplectic Groups,"A. Brandhuber, J. Sonnenschein, S. Theisen, S. Yankielowicz",1997-05-05,05d318ff9160d0c1e3b48c84d5cc8d46323f685a94e38557ea1f029192a527b5
9706221,Classical Inhomogeneities in String Cosmology,"A. Buonanno, K.A. Meissner, C. Ungarelli, G. Veneziano",1997-06-03,90591451b256349f869ee991c1202a461e5a288265d5d03e0fe894cfe1ee2455
9806230,Pre-big bang bubbles from the gravitational instability of generic,"A. Buonanno, T. Damour and G. Veneziano",1998-06-02,4fb03f127e3c9d7cee2b9590a51b057cde26653eb0ee582cf551c6326e994e6a
9807207,Complete Wetting of Gluons and Gluinos,"A. Campos, K. Holland and U.-J. Wiese",1998-07-01,62007d56c8b29e5fbff82601fe57c507d2af10f85bb1cbdf74514a1f2b785030
9607236,Bubbles in Kaluza-Klein theories with space- or time-like internal,"A. Chamblin (Institute for Theoretical Physics, UCSB), R. Emparan",1996-07-04,36ca5b73449f36b271a069f3039dabf03e4a0306e1a0619ed1bcf3671c88127f
9909205,Brane-World Black Holes,"A. Chamblin, S.W. Hawking, H.S. Reall",1999-09-01,680b9886516e727ae7f7606029be4c3d466733787669fa011f1e364bb9fd5cd4
9907214,$(\alpha')^4$ corrections to the N=2 supersymmetric Born-Infeld action,"A. De Giovanni, A. Santambrogio and D. Zanon",1999-07-02,f24db8ae3f1c8d2318cf3897884b961f960248deb2ebe8681dee1298a21973d2
9812223,"Galilei covariance and (4,1) de Sitter space","A. E. Santana, F. C. Khanna and Y. Takahashi",1998-12-02,a73e9306827a3d854da046a02799469abfd595e30985b02eb0f8b98b58001b09
9811224,Remarks on Two-Loop Free Energy in N=4 Supersymmetric Yang-Mills Theory,A. Fotopoulos and T.R. Taylor,1998-11-02,64d3dc3b24bcb9e8e666b9ad9e4826bb86a67d8bb241211fe3289298e8a11afd
9811225,Light-front Quantized Chiral Schwinger Model and its Vacuum Structure,A. Fotopoulos and T.R. Taylor,1998-11-02,64d3dc3b24bcb9e8e666b9ad9e4826bb86a67d8bb241211fe3289298e8a11afd
9510206,Algorithms for the calculation of the heat kernel coefficients,"A. G. Mirzabekian, G. A. Vilkovisky, V. V. Zhytnikov",1995-10-02,3ea5cd27876721d7ac22659d83d3a36abcfcd9b37c91b713ed48af998d3eb766
9510207,Black Hole Condensation and Duality in String Theory,"A. G. Mirzabekian, G. A. Vilkovisky, V. V. Zhytnikov",1995-10-02,3ea5cd27876721d7ac22659d83d3a36abcfcd9b37c91b713ed48af998d3eb766
9510205,Partial summation of the nonlocal expansion for the gravitational,"A. G. Mirzabekian, G. A. Vilkovisky, V. V. Zhytnikov",1995-10-02,3ea5cd27876721d7ac22659d83d3a36abcfcd9b37c91b713ed48af998d3eb766
9410244,A Solution of the Maxwell-Dirac Equations in 3+1 Dimensions,A. Garrett Lisi,1994-10-07,2c0d709f1755d5f628625a5c0084c201596bfd2ad82c97454d54181c98a78d8d
9406210,Entropy for dilatonic black hole,A. Ghosh and P. Mitra (Saha Institute of Nuclear Physics),1994-06-01,6b121d501fe2b12540f4ac55cc311c36edb192c9b7b381ebdd89a186e8dcbf3d
9406211,Representation theory and tensor product theory for vertex operator,A. Ghosh and P. Mitra (Saha Institute of Nuclear Physics),1994-06-02,6b121d501fe2b12540f4ac55cc311c36edb192c9b7b381ebdd89a186e8dcbf3d
9806233,Quantum Fluctuations in Open Pre-Big Bang Cosmology,"A. Ghosh, G. Pollifrone and G. Veneziano (CERN)",1998-06-02,1103875c197b00826fc96c26a4727df5e4d7862e5bda3097820b4b694e86b752
9910229,On heavy states in supersymmetric gluodynamics at large N,A. Gorsky and K. Selivanov,1999-10-04,e6871bfc99eed831885d93f91cefe190a849d27b29319234e1b8b29e2ab4f498
9612230,The Geometry of Self-Dual Gauge Fields,"A. H. Bilge, T. Dereli, \c{S}. Ko\c{c}ak",1996-12-02,fda2de88f5f883823ba0c0ab6da263eb82d72241664fd609c11cefdba929d093
9612232,"O(d, d)-Symmetry and Ernst Formulation for Einstein-Kalb-Ramond Theory",A. Herrera and O. Kechkin,1996-12-02,c20ca0deebe6bcf1c078e517dc8308f59a7c9613d21e4aceab24a28b50de07c1
9806248,Geometrical approach to the evaluation of multileg Feynman diagrams,A. I. Davydychev and R. Delbourgo,1998-06-03,e9ea9f78c5ee24662b72dc6ccba40b76fc71305a74d7c6e531cc9139db426637
9804206,Large N Field Theory of N=2 Strings and Self-Dual Gravity,"A. Jevicki, M. Mihailescu and J. P. Nunes",1998-04-01,7892020aee3efca43dce4587d71ef44aa6f86469260ba6927977eba25b3f6e8c
9706223,Large N WZW Field Theory Of N=2 Strings,"A. Jevicki, M. Mihailescu and J. P. Nunes",1997-06-03,7892020aee3efca43dce4587d71ef44aa6f86469260ba6927977eba25b3f6e8c
9807224,Positivity Constraints on Anomalies and Supersymmetry,A. Johansen,1998-07-02,ac4b89a4cbb516b430abec18fde167990e1f0dff1564ef0d88a6366e07d4c0d0
9810234,Functional Approach to Phase Space Formulation of Quantum Mechanics,"A. K. Aringazin (Karaganda State University, Kazakstan)",1998-10-02,018bebd050ed3817665d34514d1a5baf742387b04f05a9d5c0475c346d5a9aab
9906204,Exponential and power-law hierarchies from supergravity,A. Kehagias,1999-06-01,922a56875ac681eb691c1e1486089e9c048a1f6e82f8f6c5a2de4689f0be3a23
9706214,New Conformal Gauging and the Electromagnetic Theory of Weyl,A. Kempf,1997-06-02,11603bdd1ff1528895e4881da333a740353379d7c1bfaf57ed0e571d398be94a
9706213,"On Nonlocality, Lattices and Internal Symmetries",A. Kempf,1997-06-02,11603bdd1ff1528895e4881da333a740353379d7c1bfaf57ed0e571d398be94a
9706215,Normal Biconformal Spaces,A. Kempf,1997-06-02,11603bdd1ff1528895e4881da333a740353379d7c1bfaf57ed0e571d398be94a
